lut.20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
species of fungi;Andersa 3.1;;;;Andersa 3a.1;;;;3;;;;Andersa 3a.9;;;;Andersa 3.5;;;;Andersa 3.6;;;;Andersa 3.7;;;;Andersa 3.8;;;;Andersa 3.9;;;;Andersa 3a.2;;;;Andersa 3a.3;;;;Andersa 3a.4;;;;Andersa 3a.6;;;;Andersa 3a.7;;;;Andersa 3b.1;;;;Andersa 3b.5;;;;Andersa 3b.8;;;;Andersa 3c.2;;;;Andersa 3b.2;;;;Andersa 3c.4;;;;Andersa 3c.5;;;;Andersa 3c.10;;;;Andersa 3a.10;;;;Andersa 3c.8;;;;Andersa 3a.8;;;;
;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D ;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D ;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;A;B;C;D;
Aspergillus ochraceum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Oidiodendron griseum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;6;;;;;;;;;;;;;;;;;;;4;;;14
Aureobasidion pullulans;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
Aspergillus spp.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;11
Paeciliomyces liliacinus;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;17
Rhodotorula rubra;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;10;;;;;;;;;;4;3;4;;;;;;;;;;;;;;;3;;;;;;;;;;;;;2;;;;;2;;;;;;;;;;3;;;;;;;;;;;34
Pecilcilium expansum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;0;;;;;;;;;9
Aspergillus versicolor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1
Eupenicillium sp.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1
Penicillium notatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1
Aspergillus candidus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;7
Mucor mucedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;1
Mucor hiemalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;0;;;;1;;;;;5
Penicillium versicolor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;;;;;;1;;;3
